id,seed,type,path,file,step_start,step_end,event,n_maps,action,q_value,q_llm
000263,106,intermediate,106/intermediate_step_0005_0007_open_door.txt,intermediate_step_0005_0007_open_door.txt,5,7,open_door,3,pickup,0.886385,0.68
001008,871,transition,871/transition_step_0004_0006_open_door.txt,transition_step_0004_0006_open_door.txt,4,6,open_door,3,toggle,0.913517,0.22
000072,435,transition,435/transition_step_0005_0007_find_key.txt,transition_step_0005_0007_find_key.txt,5,7,find_key,3,toggle,0.868746,0.12
001239,308,transition,308/transition_step_0067_0069_open_door.txt,transition_step_0067_0069_open_door.txt,67,69,open_door,3,right,0.895338,0.15
001290,769,transition,769/transition_step_0001_0003_find_key.txt,transition_step_0001_0003_find_key.txt,1,3,find_key,3,toggle,0.834514,0.1
001654,191,intermediate,191/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,forward,0.826169,0.2
001552,805,transition,805/transition_step_0080_0082_reach_goal.txt,transition_step_0080_0082_reach_goal.txt,80,82,reach_goal,3,forward,1.0,0.99
000036,102,transition,102/transition_step_0052_0054_reach_goal.txt,transition_step_0052_0054_reach_goal.txt,52,54,reach_goal,3,toggle,0.99,0.95
000020,102,transition,102/transition_step_0039_0041_open_door.txt,transition_step_0039_0041_open_door.txt,39,41,open_door,3,left,0.895338,0.5
000455,20,intermediate,20/intermediate_step_0272_0274_reach_goal.txt,intermediate_step_0272_0274_reach_goal.txt,272,274,reach_goal,3,pickup,0.960596,0.9
000364,700,transition,700/transition_step_0002_0004_find_key.txt,transition_step_0002_0004_find_key.txt,2,4,find_key,3,forward,0.851458,0.67
001352,343,intermediate,343/intermediate_step_0000_0000_find_key.txt,intermediate_step_0000_0000_find_key.txt,0,0,find_key,1,left,0.842943,0.58
001505,413,off_track,413/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,pickup,0.834514,0.61
001550,805,transition,805/transition_step_0080_0082_reach_goal.txt,transition_step_0080_0082_reach_goal.txt,80,82,reach_goal,3,left,0.9801,0.92
