id,seed,type,path,file,step_start,step_end,event,n_maps,action,q_value,q_llm
000139,860,transition,860/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,left,0.94148,0.01
000139,860,transition,860/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,right,0.94148,0.01
000139,860,transition,860/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,forward,0.95099,0.02
000139,860,transition,860/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,pickup,0.95099,0.0
000139,860,transition,860/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,toggle,0.960596,0.92
000697,330,transition,330/transition_step_0005_0007_find_key.txt,transition_step_0005_0007_find_key.txt,5,7,find_key,3,left,0.877521,0.05
000697,330,transition,330/transition_step_0005_0007_find_key.txt,transition_step_0005_0007_find_key.txt,5,7,find_key,3,right,0.877521,0.05
000697,330,transition,330/transition_step_0005_0007_find_key.txt,transition_step_0005_0007_find_key.txt,5,7,find_key,3,forward,0.886385,0.75
000697,330,transition,330/transition_step_0005_0007_find_key.txt,transition_step_0005_0007_find_key.txt,5,7,find_key,3,pickup,0.895338,0.0
000697,330,transition,330/transition_step_0005_0007_find_key.txt,transition_step_0005_0007_find_key.txt,5,7,find_key,3,toggle,0.886385,0.0
000373,700,transition,700/transition_step_0026_0028_open_door.txt,transition_step_0026_0028_open_door.txt,26,28,open_door,3,left,0.895338,0.01
000373,700,transition,700/transition_step_0026_0028_open_door.txt,transition_step_0026_0028_open_door.txt,26,28,open_door,3,right,0.895338,0.01
000373,700,transition,700/transition_step_0026_0028_open_door.txt,transition_step_0026_0028_open_door.txt,26,28,open_door,3,forward,0.904382,0.02
000373,700,transition,700/transition_step_0026_0028_open_door.txt,transition_step_0026_0028_open_door.txt,26,28,open_door,3,pickup,0.904382,0.0
