id,seed,type,path,file,step_start,step_end,event,n_maps,v_value,v_llm
000231,308,transition,308/transition_step_0077_0081_reach_goal.txt,transition_step_0077_0081_reach_goal.txt,77,81,reach_goal,5,1.0,0.99
000319,955,off_track,955/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,5,0.9606,0.9703
000273,413,transition,413/transition_step_0013_0017_open_door.txt,transition_step_0013_0017_open_door.txt,13,17,open_door,5,0.9321,0.9321
000056,71,worst,71/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8864,0.9044
000130,330,transition,330/transition_step_0004_0008_find_key.txt,transition_step_0004_0008_find_key.txt,4,8,find_key,5,0.9044,0.9135
000316,955,intermediate,955/intermediate_step_0082_0086_open_door.txt,intermediate_step_0082_0086_open_door.txt,82,86,open_door,5,0.8775,0.8953
000040,270,intermediate,270/intermediate_step_0020_0024_reach_goal.txt,intermediate_step_0020_0024_reach_goal.txt,20,24,reach_goal,5,0.9801,0.9801
000001,102,initial,102/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8097,0.8345
000024,860,worst,860/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.9044,0.92
000099,121,worst,121/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8429,0.87
000193,663,initial,663/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8687,0.88
000085,20,off_track,20/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,5,0.8515,0.86
000233,308,off_track,308/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,5,0.8262,0.84
000159,87,off_track,87/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,5,0.8864,0.85
000288,805,off_track,805/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,5,0.8515,0.87
000105,121,intermediate,121/intermediate_step_0096_0100_reach_goal.txt,intermediate_step_0096_0100_reach_goal.txt,96,100,reach_goal,5,0.9801,0.84
000304,191,transition,191/transition_step_0001_0005_find_key.txt,transition_step_0001_0005_find_key.txt,1,5,find_key,5,0.8601,0.86
000228,308,intermediate,308/intermediate_step_0003_0007_find_key.txt,intermediate_step_0003_0007_find_key.txt,3,7,find_key,5,0.8687,0.87
000007,102,transition,102/transition_step_0050_0054_reach_goal.txt,transition_step_0050_0054_reach_goal.txt,50,54,reach_goal,5,1.0,0.99
000055,71,initial,71/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8864,0.9
000261,491,intermediate,491/intermediate_step_0022_0026_find_key.txt,intermediate_step_0022_0026_find_key.txt,22,26,find_key,5,0.8864,0.91
000217,661,intermediate,661/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8515,0.86
000175,99,intermediate,99/intermediate_step_0002_0006_find_key.txt,intermediate_step_0002_0006_find_key.txt,2,6,find_key,5,0.8601,0.87
000084,20,intermediate,20/intermediate_step_0271_0275_reach_goal.txt,intermediate_step_0271_0275_reach_goal.txt,271,275,reach_goal,5,0.9801,0.96
000241,769,intermediate,769/intermediate_step_0017_0021_open_door.txt,intermediate_step_0017_0021_open_door.txt,17,21,open_door,5,0.8953,0.922744694
000124,214,transition,214/transition_step_0047_0051_open_door.txt,transition_step_0047_0051_open_door.txt,47,51,open_door,5,0.9321,0.932065347
000064,71,off_track,71/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,5,0.8775,0.868745
000142,458,intermediate,458/intermediate_step_0001_0005_find_key.txt,intermediate_step_0001_0005_find_key.txt,1,5,find_key,5,0.8601,0.826168
000097,614,off_track,614/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,5,0.9044,0.84288
000068,700,transition,700/transition_step_0001_0005_find_key.txt,transition_step_0001_0005_find_key.txt,1,5,find_key,5,0.8687,0.86005
000246,769,off_track,769/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,5,0.9044,0.85145
000146,458,intermediate,458/intermediate_step_0024_0028_reach_goal.txt,intermediate_step_0024_0028_reach_goal.txt,24,28,reach_goal,5,0.9801,0.86005
000283,805,intermediate,805/intermediate_step_0046_0050_find_key.txt,intermediate_step_0046_0050_find_key.txt,46,50,find_key,5,0.8775,0.8687
000207,130,transition,130/transition_step_0054_0058_open_door.txt,transition_step_0054_0058_open_door.txt,54,58,open_door,5,0.9606,0.9606
000314,955,intermediate,955/intermediate_step_0030_0034_find_key.txt,intermediate_step_0030_0034_find_key.txt,30,34,find_key,5,0.8429,0.8016
000181,99,off_track,99/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,5,0.8601,0.8515
000028,860,intermediate,860/intermediate_step_0015_0019_open_door.txt,intermediate_step_0015_0019_open_door.txt,15,19,open_door,5,0.951,0.951
000315,955,transition,955/transition_step_0085_0089_open_door.txt,transition_step_0085_0089_open_door.txt,85,89,open_door,5,0.9044,0.9044
000236,769,initial,769/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8262,0.8179
000164,372,intermediate,372/intermediate_step_0106_0110_find_key.txt,intermediate_step_0106_0110_find_key.txt,106,110,find_key,5,0.8953,0.9135
000071,700,intermediate,700/intermediate_step_0022_0026_open_door.txt,intermediate_step_0022_0026_open_door.txt,22,26,open_door,5,0.9044,0.904
000066,700,initial,700/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8345,0.834
000126,214,transition,214/transition_step_0054_0058_reach_goal.txt,transition_step_0054_0058_reach_goal.txt,54,58,reach_goal,5,1.0,0.99
000318,955,intermediate,955/intermediate_step_0095_0099_reach_goal.txt,intermediate_step_0095_0099_reach_goal.txt,95,99,reach_goal,5,0.9801,0.97
000251,343,transition,343/transition_step_0194_0198_open_door.txt,transition_step_0194_0198_open_door.txt,194,198,open_door,5,0.9321,0.932
000100,121,transition,121/transition_step_0001_0005_find_key.txt,transition_step_0001_0005_find_key.txt,1,5,find_key,5,0.8864,0.886
000275,413,transition,413/transition_step_0020_0024_reach_goal.txt,transition_step_0020_0024_reach_goal.txt,20,24,reach_goal,5,1.0,0.99
000152,87,transition,87/transition_step_0045_0049_find_key.txt,transition_step_0045_0049_find_key.txt,45,49,find_key,5,0.9135,0.914
000262,491,transition,491/transition_step_0058_0062_open_door.txt,transition_step_0058_0062_open_door.txt,58,62,open_door,5,0.9415,0.932065
000003,102,transition,102/transition_step_0003_0007_find_key.txt,transition_step_0003_0007_find_key.txt,3,7,find_key,5,0.8687,0.886385
000087,20,off_track,20/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,5,0.8775,0.904382
000199,663,intermediate,663/intermediate_step_0051_0055_reach_goal.txt,intermediate_step_0051_0055_reach_goal.txt,51,55,reach_goal,5,0.9801,0.9801
000266,491,off_track,491/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,5,0.9044,0.904382
000061,71,transition,71/transition_step_0010_0014_reach_goal.txt,transition_step_0010_0014_reach_goal.txt,10,14,reach_goal,5,1.0,0.970299
